link;preco;valid_preco;modelo;anomodelo;quilometragem
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/37274113?pos=a37274113g:&np=1;53,99;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2018/2019;33424 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-style-16v-flex-4p-automatico/4-portas/2016-2017/37337331?pos=b37337331g:&np=1;54,9;1;1.6 COMFORT STYLE 16V FLEX 4P AUTOMÁTICO;2016/2017;37000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-16v-flex-4p-manual/4-portas/2013/37351180?pos=c37351180g:&np=1;43,89;1;1.6 COMFORT 16V FLEX 4P MANUAL;2013/2013;58000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-r-spec-16v-flex-4p-automatico/4-portas/2017-2018/37351167?pos=d37351167g:&np=1;65,89;1;1.6 R SPEC 16V FLEX 4P AUTOMÁTICO;2017/2018;25561 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/0-portas/2018-2019/36486200?pos=e36486200c:&np=1;54,9;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2018/2019;36100 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-r-spec-16v-flex-4p-manual/0-portas/2016/34733378?pos=f34733378c:&np=1;45,5;1;1.6 R SPEC 16V FLEX 4P MANUAL;2016/2016;35200 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-spicy-16v-flex-4p-manual/4-portas/2015/36485389?pos=g36485389c:&np=1;42,99;1;1.6 SPICY 16V FLEX 4P MANUAL;2015/2015;86000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36252652?pos=h36252652g:&np=1;49,0;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;51083 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36623426?pos=i36623426g:&np=1;51,9;1;1.0 12V FLEX SENSE MANUAL;2019/2020;53500 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/35500164?pos=j35500164g:&np=1;49,0;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;41644 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2019-2020/36623471?pos=k36623471g:&np=1;52,9;1;1.0 12V FLEX SENSE MANUAL;2019/2020;42400 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2016/36242769?pos=l36242769g:&np=1;42,99;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2016/2016;67000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36169578?pos=m36169578g:&np=1;52,89;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;42511 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36169534?pos=n36169534g:&np=1;52,89;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;36719 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36387360?pos=o36387360g:&np=1;49,5;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;42461 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36625094?pos=p36625094g:&np=1;49,5;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;54021 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36166478?pos=q36166478g:&np=1;49,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;44958 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36620530?pos=r36620530g:&np=1;51,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;40846 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36620543?pos=s36620543g:&np=1;51,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;48299 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36620546?pos=t36620546g:&np=1;51,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;51229 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36620531?pos=u36620531g:&np=1;51,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;49373 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/36620542?pos=v36620542g:&np=1;51,9;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;49605 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/33939763?pos=w33939763g:&np=1;50,25;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2019/2019;42250 km
